timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-04-20T13:54:44Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,247575n,12076Ki
2025-04-20T13:54:44Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,200012470n,18104Ki
2025-04-20T13:54:44Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,161295275n,14180Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,948330n,19132Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,210488n,3996Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,494800n,14264Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,69749n,17180Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,62073n,15616Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,270032n,12060Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,108986n,22020Ki
2025-04-20T13:54:45Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,247575n,12076Ki
2025-04-20T13:54:45Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,200012470n,18104Ki
2025-04-20T13:54:45Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,161295275n,14180Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,1147154n,19128Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,194653n,3996Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,486951n,14272Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,119303n,17176Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,112297n,15616Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,269147n,12060Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,196141n,22028Ki
2025-04-20T13:54:46Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,260453n,12076Ki
2025-04-20T13:54:46Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,202661204n,18072Ki
2025-04-20T13:54:46Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,162304836n,14248Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,destination,948330n,19132Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,policy,210488n,3996Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,linkerd-proxy,494800n,14264Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-destination-78d4c8596c-mdggr,sp-validator,69749n,17180Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,identity,62073n,15616Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-identity-585b66d4b8-vx8pw,linkerd-proxy,270032n,12060Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,proxy-injector,108986n,22020Ki
2025-04-20T13:54:48Z,control-plane,linkerd,linkerd-proxy-injector-6fd699f85-f2zll,linkerd-proxy,247575n,12076Ki
2025-04-20T13:54:48Z,data-plane,service-mesh-benchmark,fortio-client-84bfff6585-bp5ph,linkerd-proxy,200012470n,18104Ki
2025-04-20T13:54:48Z,data-plane,service-mesh-benchmark,fortio-server-6db6d9b4df-fbl9v,linkerd-proxy,161295275n,14180Ki
